folder,comp,day,mask,maxLST,minLST,25thLST,medianLST,75thLST
all_preds,maxLST,July_06,S2notMasked_withoutLSTmask,292.52634,282.54642,284.6827392578125,285.2307434082031,285.7705993652344
all_preds,maxLST,July_07,S2Masked_withLSTmask,311.10806,273.53198,285.7774353027344,291.29119873046875,295.0975036621094
all_preds,maxLST,July_07,S2Masked_withoutLSTmask,313.65546,271.75354,285.68304443359375,290.0305480957031,294.13446044921875
all_preds,maxLST,July_07,S2notMasked_withLSTmask,310.4663,273.58768,285.6187438964844,291.41314697265625,295.2299346923828
all_preds,maxLST,July_07,S2notMasked_withoutLSTmask,310.8793,273.56946,285.4756164550781,290.1288146972656,294.370849609375
all_preds,maxLST,July_08,S2Masked_withLSTmask,317.96783,273.97556,285.32323455810547,290.0871887207031,295.4954833984375
all_preds,maxLST,July_08,S2Masked_withoutLSTmask,319.1909,274.39023,285.3057861328125,289.83929443359375,294.4976501464844
all_preds,maxLST,July_08,S2notMasked_withLSTmask,319.083,273.7993,285.20542907714844,289.9749450683594,295.77197265625
all_preds,maxLST,July_08,S2notMasked_withoutLSTmask,318.68213,274.12717,285.1726989746094,289.61572265625,294.76427459716797
all_preds,maxLST,July_09,S2Masked_withLSTmask,318.88495,275.35068,284.611572265625,285.4303894042969,286.4102478027344
all_preds,maxLST,July_09,S2Masked_withoutLSTmask,321.14203,275.03925,284.75006103515625,285.6828918457031,286.6734313964844
all_preds,maxLST,July_09,S2notMasked_withLSTmask,317.54907,275.44766,284.5691223144531,285.3824157714844,286.3666076660156
all_preds,maxLST,July_09,S2notMasked_withoutLSTmask,317.9031,275.40582,284.6861572265625,285.56903076171875,286.6429138183594
all_preds,minVZA,July_01,S2Masked_withLSTmask,336.83902,276.087,290.4214782714844,291.8907775878906,294.5243225097656
all_preds,minVZA,July_01,S2Masked_withoutLSTmask,337.65262,275.07388,290.54559326171875,292.09130859375,294.8387451171875
all_preds,minVZA,July_01,S2notMasked_withLSTmask,335.32477,276.0035,290.3135070800781,291.8367614746094,294.5658874511719
all_preds,minVZA,July_01,S2notMasked_withoutLSTmask,336.33286,276.1103,290.38763427734375,292.0511169433594,294.8938903808594
all_preds,minVZA,July_02,S2Masked_withLSTmask,323.3381,271.95428,285.2059326171875,286.17999267578125,287.30072021484375
all_preds,minVZA,July_02,S2Masked_withoutLSTmask,321.58948,268.70468,285.4419860839844,286.4001770019531,287.5710144042969
all_preds,minVZA,July_02,S2notMasked_withLSTmask,325.057,270.41647,285.12579345703125,286.1120300292969,287.2661437988281
all_preds,minVZA,July_02,S2notMasked_withoutLSTmask,322.30902,271.21515,285.3124084472656,286.3157958984375,287.553955078125
all_preds,minVZA,July_03,S2Masked_withLSTmask,325.20956,271.86288,285.05828857421875,285.9338073730469,287.35643005371094
all_preds,minVZA,July_03,S2Masked_withoutLSTmask,326.60742,270.5051,285.2576599121094,286.1180725097656,287.4438781738281
all_preds,minVZA,July_03,S2notMasked_withLSTmask,320.0308,271.71378,284.96820068359375,285.85198974609375,287.3454284667969
all_preds,minVZA,July_03,S2notMasked_withoutLSTmask,320.25317,271.00064,285.1272888183594,286.00897216796875,287.45416259765625
all_preds,minVZA,July_04,S2Masked_withLSTmask,318.16974,278.93436,297.4065856933594,299.68756103515625,301.93304443359375
all_preds,minVZA,July_04,S2Masked_withoutLSTmask,319.8411,278.9176,295.6574401855469,298.6296081542969,301.3070983886719
all_preds,minVZA,July_04,S2notMasked_withLSTmask,316.88187,279.1356,297.3588562011719,299.72686767578125,302.01617431640625
all_preds,minVZA,July_04,S2notMasked_withoutLSTmask,321.7294,278.48364,295.60296630859375,298.7569274902344,301.5603942871094
all_preds,minVZA,July_05,S2Masked_withLSTmask,311.93756,277.54855,287.7863464355469,288.6221618652344,289.6016540527344
all_preds,minVZA,July_05,S2Masked_withoutLSTmask,313.4252,275.46118,287.84600830078125,288.658935546875,289.582275390625
all_preds,minVZA,July_05,S2notMasked_withLSTmask,312.53412,278.2072,287.75665283203125,288.6053771972656,289.6028747558594
all_preds,minVZA,July_05,S2notMasked_withoutLSTmask,315.40994,277.82608,287.7686767578125,288.6346740722656,289.63311767578125
all_preds,minVZA,July_06,S2Masked_withLSTmask,291.61627,282.1065,284.7556838989258,285.3113250732422,285.8188781738281
all_preds,minVZA,July_06,S2Masked_withoutLSTmask,291.28748,282.31348,284.7246398925781,285.2274475097656,285.7066345214844
all_preds,minVZA,July_06,S2notMasked_withLSTmask,291.41946,281.77426,284.7586669921875,285.313720703125,285.8253479003906
all_preds,minVZA,July_06,S2notMasked_withoutLSTmask,292.45605,282.0631,284.6756286621094,285.2227783203125,285.7494812011719
all_preds,minVZA,July_07,S2Masked_withLSTmask,311.77704,273.8036,285.68145751953125,290.6888122558594,294.5924072265625
all_preds,minVZA,July_07,S2Masked_withoutLSTmask,312.2365,272.1927,285.5917053222656,289.53192138671875,293.5830993652344
all_preds,minVZA,July_07,S2notMasked_withLSTmask,311.43204,273.57193,285.5212707519531,290.74481201171875,294.74041748046875
all_preds,minVZA,July_07,S2notMasked_withoutLSTmask,313.66687,273.71054,285.39990234375,289.5697326660156,293.84356689453125
all_preds,minVZA,July_08,S2Masked_withLSTmask,317.69028,273.88596,285.3056335449219,289.7723693847656,295.3217468261719
all_preds,minVZA,July_08,S2Masked_withoutLSTmask,318.34506,274.0392,285.26300048828125,289.5706787109375,294.2573547363281
all_preds,minVZA,July_08,S2notMasked_withLSTmask,319.12262,273.69852,285.1845397949219,289.7367858886719,295.57257080078125
all_preds,minVZA,July_08,S2notMasked_withoutLSTmask,319.12958,275.00143,285.1411437988281,289.3195495605469,294.54266357421875
all_preds,minVZA,July_09,S2Masked_withLSTmask,316.80057,275.49286,284.56927490234375,285.3208923339844,286.1591491699219
all_preds,minVZA,July_09,S2Masked_withoutLSTmask,317.51382,275.3786,284.6924743652344,285.5477294921875,286.4364929199219
all_preds,minVZA,July_09,S2notMasked_withLSTmask,316.30212,276.37173,284.5215148925781,285.2937316894531,286.1507568359375
all_preds,minVZA,July_09,S2notMasked_withoutLSTmask,316.2561,275.4948,284.6374206542969,285.4671325683594,286.40020751953125
