Tile,preds,composite,date,LST_Mask,S2_Mask,ET_var,Mask_Name,name_var,vmax,vmin,vp25,vp50,vp75,vlenght
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,ZEN,36.026497,35.727085,35.769126892089844,35.90879440307617,35.91702079772949,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,ZEN,36.077976,35.706486,35.83454132080078,35.892330169677734,35.950130462646484,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,aspect_sub,358,1,124.0,239.0,313.0,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,aspect_sub,360,0,86.0,172.0,274.0,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,aspect_sub,358,1,124.0,239.0,313.0,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,aspect_sub,360,0,86.0,172.0,274.0,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,canopy_height,18.123571,4.3842597,9.166863441467285,11.689543724060059,13.87022876739502,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,canopy_height,20.0,1.0597681,5.8787888288497925,11.199576377868652,14.488880157470703,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,canopy_height,18.123571,4.3842597,9.158201217651367,11.689543724060059,13.860033988952637,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,canopy_height,20.0,1.0597681,5.878794431686401,11.199576377868652,14.488880157470703,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,dem_sub,64,16,18.0,28.0,45.0,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,dem_sub,140,14,31.0,43.0,62.0,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,dem_sub,64,16,18.0,28.0,45.0,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,dem_sub,140,14,31.0,43.0,62.0,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,geopot_sub,630,315,393.0,402.0,463.0,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,geopot_sub,721,301,461.0,539.0,613.0,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,geopot_sub,630,315,393.0,402.0,463.0,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,geopot_sub,721,301,461.0,539.0,613.0,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,lat_sub,53,53,53.0,53.0,53.0,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,lat_sub,53,53,53.0,53.0,53.0,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,lat_sub,53,53,53.0,53.0,53.0,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,lat_sub,53,53,53.0,53.0,53.0,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,lon_sub,11,11,11.0,11.0,11.0,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,lon_sub,11,11,11.0,11.0,11.0,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,lon_sub,11,11,11.0,11.0,11.0,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,lon_sub,11,11,11.0,11.0,11.0,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,longwave_radiation,378.63068,376.82767,377.7568664550781,378.0372314453125,378.37701416015625,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,longwave_radiation,379.0426,374.24048,377.4034729003906,377.97515869140625,378.3466491699219,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,longwave_radiation,378.63068,376.82767,377.7572937011719,378.0372314453125,378.37615966796875,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,longwave_radiation,379.0426,374.24048,377.4034729003906,377.97515869140625,378.3466491699219,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,ndvi,0.8880346,0.2789391,0.5954946279525757,0.6998292207717896,0.7732412219047546,997
