comp,dir,date,val
minVZA,Soil_func,2019_April_18,1.783104
minVZA,Soil_func,2019_April_19,0.0
minVZA,Soil_func,2019_April_20,
minVZA,Soil_func,2019_April_21,1.7039801
minVZA,Soil_func,2019_April_22,1.6353269
minVZA,Soil_func,2019_April_23,0.66918796
minVZA,Soil_func,2019_April_24,0.03481407
minVZA,Soil_func,2019_April_25,1.0824018
minVZA,Soil_func,2019_April_26,1.6399076
minVZA,Soil_func,2019_April_27,0.0
minVZA,Soil_func,2019_April_28,0.0
minVZA,Soil_func,2019_April_29,
minVZA,Soil_func,2019_April_30,1.1234217
minVZA,Soil_func,2019_August_02,3.373816
minVZA,Soil_func,2019_August_03,2.2413607
minVZA,Soil_func,2019_August_04,0.75284284
minVZA,Soil_func,2019_August_05,
minVZA,Soil_func,2019_July_02,0.7190359
minVZA,Soil_func,2019_July_03,
minVZA,Soil_func,2019_July_04,1.4537824
minVZA,Soil_func,2019_July_05,0.0
minVZA,Soil_func,2019_July_06,1.3764648
minVZA,Soil_func,2019_July_07,
minVZA,Soil_func,2019_July_08,
minVZA,Soil_func,2019_July_09,
minVZA,Soil_func,2019_July_10,
minVZA,Soil_func,2019_July_11,2.2541285
minVZA,Soil_func,2019_July_12,0.0
minVZA,Soil_func,2019_July_13,
minVZA,Soil_func,2019_July_14,
minVZA,Soil_func,2019_July_15,
minVZA,Soil_func,2019_July_16,0.0
minVZA,Soil_func,2019_July_17,
minVZA,Soil_func,2019_July_18,3.663284
minVZA,Soil_func,2019_July_19,0.0
minVZA,Soil_func,2019_July_20,
minVZA,Soil_func,2019_July_21,
minVZA,Soil_func,2019_July_22,0.0
minVZA,Soil_func,2019_July_23,1.180442
minVZA,Soil_func,2019_July_24,2.6944485
minVZA,Soil_func,2019_July_25,3.4428737
minVZA,Soil_func,2019_July_26,1.7901363
minVZA,Soil_func,2019_July_27,2.6698167
minVZA,Soil_func,2019_July_28,
minVZA,Soil_func,2019_July_29,
minVZA,Soil_func,2019_July_30,
minVZA,Soil_func,2019_July_31,
minVZA,Soil_func,2019_June_02,2.6548376
minVZA,Soil_func,2019_June_03,2.5133824
minVZA,Soil_func,2019_June_04,0.0
minVZA,Soil_func,2019_June_05,0.0
minVZA,Soil_func,2019_June_06,1.4536822
minVZA,Soil_func,2019_June_07,2.6494586
minVZA,Soil_func,2019_June_08,
minVZA,Soil_func,2019_June_09,2.4480972
minVZA,Soil_func,2019_June_10,
minVZA,Soil_func,2019_June_11,2.7785234
minVZA,Soil_func,2019_June_12,1.212039
minVZA,Soil_func,2019_June_13,4.3686223
minVZA,Soil_func,2019_June_14,2.1903303
minVZA,Soil_func,2019_June_15,1.9495963
minVZA,Soil_func,2019_June_16,
minVZA,Soil_func,2019_June_17,2.250698
minVZA,Soil_func,2019_June_18,1.6144512
minVZA,Soil_func,2019_June_19,3.3565764
minVZA,Soil_func,2019_June_20,
minVZA,Soil_func,2019_June_21,
minVZA,Soil_func,2019_June_22,1.5574812
minVZA,Soil_func,2019_June_23,
minVZA,Soil_func,2019_June_24,0.0
minVZA,Soil_func,2019_June_25,0.0
minVZA,Soil_func,2019_June_26,1.5121113
minVZA,Soil_func,2019_June_27,0.86358136
minVZA,Soil_func,2019_June_28,
minVZA,Soil_func,2019_June_29,3.179605
minVZA,Soil_func,2019_June_30,2.1542864
minVZA,Soil_func,2019_May_02,
minVZA,Soil_func,2019_May_03,1.9086851
minVZA,Soil_func,2019_May_04,
minVZA,Soil_func,2019_May_05,1.8536786
minVZA,Soil_func,2019_May_06,
minVZA,Soil_func,2019_May_07,2.4066963
minVZA,Soil_func,2019_May_08,
minVZA,Soil_func,2019_May_09,
minVZA,Soil_func,2019_May_10,
minVZA,Soil_func,2019_May_11,0.0
minVZA,Soil_func,2019_May_12,
minVZA,Soil_func,2019_May_13,1.2104377
minVZA,Soil_func,2019_May_14,0.0
minVZA,Soil_func,2019_May_15,0.0
minVZA,Soil_func,2019_May_16,1.210428
minVZA,Soil_func,2019_May_17,
minVZA,Soil_func,2019_May_18,1.6516939
minVZA,Soil_func,2019_May_19,1.8566893
minVZA,Soil_func,2019_May_20,
minVZA,Soil_func,2019_May_21,
minVZA,Soil_func,2019_May_22,0.0
minVZA,Soil_func,2019_May_23,0.07070967
minVZA,Soil_func,2019_May_24,0.0
minVZA,Soil_func,2019_May_25,
minVZA,Soil_func,2019_May_26,
minVZA,Soil_func,2019_May_27,2.4120085
minVZA,Soil_func,2019_May_28,0.0
minVZA,Soil_func,2019_May_29,
minVZA,Soil_func,2019_May_30,3.7049122
minVZA,Soil_func,2019_May_31,0.0
